datetime,temp,dew,humidity,precip,precipcover,preciptype,uvindex
2019-11-27 0:00:00.0000,47.9,42,80.2,0.198,16.67,rain,2
2019-11-28 0:00:00.0000,44.1,33.1,65.3,0.138,25,rain,1
2019-11-29 0:00:00.0000,36.5,20,51.4,0,0,,4
2019-11-30 0:00:00.0000,32.1,6.5,34.9,0,0,,4
2019-12-01 0:00:00.0000,30.2,18.8,63,0.528,29.17,"rain,snow",2
2019-12-02 0:00:00.0000,37.4,32.6,82.9,0.529,91.67,"rain,snow",1
2019-12-03 0:00:00.0000,32.4,24,71.9,0.145,41.67,"rain,snow",1
2019-12-04 0:00:00.0000,35.2,23.1,61,0,0,,2
2019-12-05 0:00:00.0000,39.2,24.5,56.2,0,0,,4
2019-12-06 0:00:00.0000,33.5,21.3,61.6,0.044,16.67,"rain,snow",1
2019-12-07 0:00:00.0000,31,15.2,52.2,0,0,,4
2019-12-08 0:00:00.0000,31,16.3,55.1,0,0,,4
2019-12-09 0:00:00.0000,49.7,43.9,80.4,0.552,66.67,rain,1
2019-12-10 0:00:00.0000,57.3,49.8,75.9,0.18,45.83,rain,2
2019-12-11 0:00:00.0000,34.4,24.9,68.7,0.239,37.5,"rain,snow",3
2019-12-12 0:00:00.0000,29.8,12.5,48.5,0,0,,4
2019-12-13 0:00:00.0000,38,30.3,73.7,0.085,20.83,rain,2
2019-12-14 0:00:00.0000,53.7,49.9,87,1.263,62.5,rain,1
2019-12-15 0:00:00.0000,45.2,25,45.4,0,0,,3
2019-12-16 0:00:00.0000,33.2,9.6,37,0,0,,2
2019-12-17 0:00:00.0000,31.9,23,71.7,0.647,62.5,"rain,snow",1
2019-12-18 0:00:00.0000,33,21.6,63.9,0,0,,4
2019-12-19 0:00:00.0000,20.5,-1.9,36.7,0,0,,4
2019-12-20 0:00:00.0000,24.4,5.7,44.5,0,0,,4
2019-12-21 0:00:00.0000,28.8,17.2,61.5,0,0,,3
2019-12-22 0:00:00.0000,37.4,24.7,60.7,0,0,,4
2019-12-23 0:00:00.0000,45.7,30.2,55.5,0,0,,4
2019-12-24 0:00:00.0000,42.8,21.2,42.6,0,0,,4
2019-12-25 0:00:00.0000,36,22.5,58.2,0,0,,4
2019-12-26 0:00:00.0000,36.5,26.8,67.8,0,0,,2
2019-12-27 0:00:00.0000,44.3,35.1,70.2,0.011,4.17,rain,1
2019-12-28 0:00:00.0000,46.4,30.9,55.7,0,0,,4
2019-12-29 0:00:00.0000,38.9,25.4,58.5,0.051,8.33,rain,3
2019-12-30 0:00:00.0000,38.4,33.3,82,1.301,100,rain,0
2019-12-31 0:00:00.0000,40.4,35.7,83.2,0.291,41.67,rain,1
2020-01-01 0:00:00.0000,39,24.3,55.7,0,0,,4
2020-01-02 0:00:00.0000,40.9,23.6,50.5,0,0,,3
2020-01-03 0:00:00.0000,47.8,33,56.3,0,0,,1
2020-01-04 0:00:00.0000,45.2,38.8,78.4,0.124,33.33,rain,0
2020-01-05 0:00:00.0000,37.2,23.9,59.6,0.122,25,rain,3
2020-01-06 0:00:00.0000,33.3,20.4,59,0,0,,3
2020-01-07 0:00:00.0000,37.9,20.8,50.3,0,0,,4
